tweet, Sentiment_label
b'Bruce Springsteen gives it to Trump like it is in New Protest Song https://t.co/M5l6WNNkXF',Positive
b'@cpeedell they probably love trump then',Positive
b'RT @SethAbramson: Trump says he thought being president would be easier. Much like Americans thought getting Congress to investigate treaso\xe2\x80\xa6',Positive
b"RT @NPR: Without tax records, Trump's claimed wealth remains unconfirmed and his financial ties and debts, obscure #Trump100\nhttps://t.co/R\xe2\x80\xa6",Neutral
b"today is day 100 of Trump's presidency, damn time flies tbh",Neutral
b"RT @LindaSuhler: Again, President Trump's rallies are funded by his own campaign funds, unlike Obama who billed taxpayers for self-promotio\xe2\x80\xa6",Positive
b'RT @FoxNews: .@AlvedaCKing: "President Trump gets an \'A\' from me." https://t.co/RH7xTKxC0K https://t.co/VyOJYPrdI2',Neutral
b'davidsirota: 2016 Trump Motto: "Make America Great Again"\n\n2020 Trump Motto: "It\'s What Plants Crave"',Positive
b'RT @GeorgeTakei: And on the 100th day, Trump still accomplished nothing, but he looked around, decided things were good, and went for a rou\xe2\x80\xa6',Positive
b"RT @MarkDice: @realDonaldTrump @marthamaccallum @FoxNews Mr. Trump, you could take the rest of your term off, and you'll still have done mo\xe2\x80\xa6",Neutral
b'RT @DolarToday: \xc2\xa1SIN RODEOS! Willie Col\xc3\xb3n pide como regalo de cumplea\xc3\xb1os firmar para que Trump sancione a Maduro -\xe2\x96\xba https://t.co/mDUrcVKl30',Neutral
b'RT @RaiseURH: US warship sails within \xe2\x80\x98striking distance\xe2\x80\x99 of North Korea as Donald Trump slams tyrant Kim Jong Un\xe2\x80\x99s failed ballis\xe2\x80\xa6 https://\xe2\x80\xa6',Neutral
b'RT @Trumptbird: Pres Trump knows how POWERFUL Twitter has become\n\nUsers have jumped to 328 MILLION since @realDonaldTrump became @POTUS \n\n#\xe2\x80\xa6',Positive
b'RT @DeanDobbs: No idea how he died, but the entire world was in intense mourning. Donald Trump was wearing a slightly bluer suit in his hon\xe2\x80\xa6',Positive
b"In Trump's White House, CEOs are shaping economic policy https://t.co/3WUwg5LpoR https://t.co/OHOvXr6KZA",Positive
b'RT @Brasilmagic: Trump will appoint Charmaine Yoest, who insists abortion causes breast cancer, to HHS leadership. \xf0\x9f\x98\xa1 https://t.co/OLHRz9KnF3',Neutral
b'Ik heb bewondering voor de kijkers die de monotone eenzijdigheid van #Nieuwsuur blijven volgen, ik heb het opgegeve\xe2\x80\xa6 https://t.co/IKgCTXxxPv',Neutral
b'RT @kylegriffin1: .@maddow reports: NBC News has learned both the Trump transition and the White House *did* perform a background check on\xe2\x80\xa6',Neutral
b'RT @theblaze: Sen. Chuck Schumer says NYC cops shouldn\xe2\x80\x99t guard Trump family if feds don\xe2\x80\x99t pay for it https://t.co/ucCSYCb3NL https://t.co/E\xe2\x80\xa6',Neutral
b'RT @bemygee: Trump che: "pensavo che fare il presidente fosse pi\xc3\xb9 facile" evoca una battaglia di neuroni pilotati da scimmie tipo terza gue\xe2\x80\xa6',Neutral
b'@HillaryClinton She is a Wall Street Whore just like Obama and Trump is the pimp!',Neutral
b'Gostei de um v\xc3\xaddeo @YouTube https://t.co/QlHXcjS7WL! - TRUMP vs. COREIA',Neutral
b"RT @TEN_GOP: Antifa thug Dane Powell pleads guilty and will face 3 yrs in prison for rioting, assaulting police during the Trump's inaugura\xe2\x80\xa6",Negative
b'RT @verge: When Trump tweets, the world holds its breath https://t.co/LDxdt1AYzz https://t.co/ZetxAVZpfM',Neutral
b"RT @FoxNews: First 100 days wages - Hourly wages after the President's first 3 months in office: Trump vs. Obama vs. Bush vs. Clinton. http\xe2\x80\xa6",Positive
b"\xe2\x9a\xa1\xef\xb8\x8f \xe2\x80\x9cPresident Trump refers to Elizabeth Warren as 'Pocahontas'\xe2\x80\x9d\n\nhttps://t.co/G7FILG5qxh",Neutral
b'RT @sarahkendzior: Want to survive another 100 days of Trump? Don\xe2\x80\x99t get complacent https://t.co/I6HkyyMuL3 &lt;-- my latest for @globeandmail',Positive
b'RT @foxnation: .@newtgingrich: @realDonaldTrump vs. The Swamp, Round III: Democrats Turn To Bureaucrats To Stop POTUS https://t.co/X15oTrem\xe2\x80\xa6',Negative
b'The audience interrupted Ivanka Trump with hissing when she began describing her... https://t.co/41Gv622AGt by #glomad67 via @c0nvey',Neutral
b"RT @Impeach_D_Trump: Trump, If you think Being President isn't easy.  You can just leave, go back to golfing. America will understand!!",Positive
b'RT @ddale8: 100 days, 213 false claims. The president is averaging two a day: https://t.co/Cx1LweOgcU',Negative
b'Did @MikeKellyPA just say that Trump has opened the doors to everyone, NOT JUST, the MUSLIM BROTHERHOOD??? Are you serious @CNN ? #HeIsTrash',Negative
b"RT @TheDailyClimate: @EPA employees targeted by @realDonaldTrump defend their role: 'We're here to protect public health' https://t.co/y0YH\xe2\x80\xa6",Neutral
b'RT @brianbeutler: Say what you will about white backlash politics but casting Trump as your racist counterpoint to Obama is such a hilariou\xe2\x80\xa6',Neutral
b'RT @IndivisibleTeam: The stakes could not be any higher for most Americans.\n\nStand with us, not with Trump. https://t.co/hepKNMXAUL',Positive
b"RT @Pappiness: Ronald Reagan missed the White House Correspondence Dinner after being shot. \n\nTrump can't even take a shot to his ego. \n\n#W\xe2\x80\xa6",Neutral
b"RT @BillKristol: What's scarier?\n1. Trump believes this to be true.\n2. Trump so believes in the power of propaganda he doesn't care it's ob\xe2\x80\xa6",Positive
b'100 days of jokes: Late-night comedy\xe2\x80\x99s best material during the Trump presidency\nhttps://t.co/Y7eM8Itp94',Positive
b'https://t.co/bDaDlxmSa3',Neutral
b'RT @SpryGuy: Hillary: Qualified, experienced, competent, knowledgeable\nTrump: Unqualified, inexperienced, incompetent, ignorant\nAnd yet her\xe2\x80\xa6',Positive
b"RT @American1765: @NCariddo @American1765_ @realDonaldTrump @LouDobbs Those saying I'm not real R the SAME people who don't believe Trump h\xe2\x80\xa6",Negative
b"@West31West @RealDonad_Trump @RealDonad_Trump doesn't do drugs.",Neutral
b'@charliekirk11 Trump takes 19 golf trips within 10 weeks.',Neutral
b"RT @IMPL0RABLE: #Resist\n\nTrump argued in court climate change was a threat to his golf course. https://t.co/bcJosvurfK\n\nIt's a 'hoax' is a\xe2\x80\xa6",Neutral
b'RT @sirjamesa12: "Loyalty Day" wasn\'t started by Trump.  It was first observed in 1921 as a red scare tactic in response to International W\xe2\x80\xa6',Positive
b"RT @chuckwoolery: The Democrats and Establishment Republicans have one thing in common. Neither want Trump to succeed &amp; that's not good for\xe2\x80\xa6",Negative
b'RT @amjoyshow: #Trump dodges White House Correspondents\xe2\x80\x99 roast https://t.co/k10GEWs9B1 #WHCD2017 #NotTheWHCD',Neutral
b'RT @amjoyshow: .@EALEXTHEGREAT: In record time #Trump turned an Obama nation into an abomination. RETWEET TO AGREE! #AMJoy #trump100days ht\xe2\x80\xa6',Neutral
b"RT @ddiamond: It's official: It's the hottest April 29 ever in DC, the same day as the #ClimateMarch \xe2\x80\x94 and Trump's 100th day. https://t.co/\xe2\x80\xa6",Neutral
b'RT @williecolon: We ask President Trump sanction the Maduro Regime and urge the world community to allow the Venezuelan opposition https://\xe2\x80\xa6',Neutral
b'RT @TheRickyDavila: Disturbing to see people criticizing Obama for earning $ as a citizen whilst trump sits in the WH earning millions from\xe2\x80\xa6',Negative
b'RT @markbreedy: @ButlerEA1 @DoofusDonny @TrueFactsStated @blacklace48 @darlene913 @RAMcCausland And Schneiderman &amp; Preet HATE Trump.\nHate h\xe2\x80\xa6',Negative
b'RT @RBReich: In his first 100 days, Trump has embarked on an orgy of cruelty. It is incumbent on all of us to stop it. Our latest video exp\xe2\x80\xa6',Positive
